timestamp,tmv_x,tmv_y,tmv_z,twv_x,twv_y,twv_z
1554967262.346941,5.025447369,1.720094919,0.04546878114,,,
1554967262.548656,5.046101093,1.714485168,0.04305237532,,,
1554967262.952112,5.071689129,1.709480286,0.06208528206,,,
1554967263.153827,5.085396767,1.704738259,0.06715530902,,,
1554967263.35553,5.094466686,1.712496996,0.07086005807,,,
1554967263.557309,5.103660107,1.721421838,0.06980347633,,,
1554967263.960701,5.123145103,1.741534948,0.06644181162,,,
1554967264.364119,5.151091099,1.747587562,0.06656843424,,,
1554967264.565834,5.171937466,1.755205512,0.06919651479,,,
1554967264.767562,5.191999912,1.75750351,0.06975251436,,,
1554967264.969316,5.219492435,1.750930429,0.06746302545,,,
1554967265.171031,5.253831863,1.731258988,0.06629946083,,,
1554967265.372695,5.292400837,1.705880165,0.06354942173,,,
1554967265.574423,5.315150738,1.687484026,0.06140584871,,,
1554967265.776138,5.328077316,1.657531977,0.05450425297,,,
1554967265.978685,5.335345745,1.620794535,0.05351239815,,,
1554967266.179645,5.329533577,1.575624466,0.04246595502,,,
1554967266.381309,5.32322216,1.522007942,0.03575157747,,,
1554967266.583639,5.332494259,1.456642509,0.03352131695,,,
1554967266.784739,5.348759651,1.391743183,0.02976498567,,,
1554967266.986506,5.382998943,1.32761085,0.02913705073,,,
1554967267.188183,5.420137405,1.26873064,0.02675665729,,,
1554967267.389885,5.457422733,1.211881161,0.03131435066,,,
1554967267.5916,5.502048969,1.15742135,0.03408864141,,,
1554967267.793315,5.543327808,1.114812732,0.03636047244,,,
1554967267.995044,5.587677002,1.068150878,0.0386925824,,,
1554967268.196772,5.626032829,1.016278982,0.03828454018,,,
1554967268.398512,5.672861099,0.9643793106,0.02113445662,,,
1554967268.600215,5.726397991,0.9107542038,0.007738435641,,,
1554967268.801917,5.778776646,0.8469635844,0.005809825379,,,
1554967269.003632,5.836283207,0.7825051546,0.01294856519,,,
1554967269.20536,5.888936996,0.7177664042,0.02191773802,,,
